Nr	Name	Typ 1	Typ 2	KP	Ang	Ver	SpA	SpV	Init
001	Bisasam	Pflanze	Gift	45	49	49	65	65	45
002	Bisaknosp	Pflanze	Gift	60	62	63	80	80	60
003	Bisaflor	Pflanze	Gift	80	82	83	100	100	80
004	Glumanda	Feuer	-	39	52	43	60	50	65
005	Glutexo	Feuer	-	58	64	58	80	65	80
006	Glurak	Feuer	Flug	78	84	78	109	85	100
007	Schiggy	Wasser	-	44	48	65	50	64	43
008	Schillok	Wasser	-	59	63	80	65	80	58
009	Turtok	Wasser	-	79	83	100	85	105	78
010	Raupy	Käfer	-	45	30	35	20	20	45
011	Safcon	Käfer	-	50	20	55	25	25	30
012	Smettbo	Käfer	Flug	60	45	50	90	80	70
013	Hornliu	Käfer	Gift	40	35	30	20	20	50
014	Kokuna	Käfer	Gift	45	25	50	25	25	35
015	Bibor	Käfer	Gift	65	90	40	45	80	75
016	Taubsi	Normal	Flug	40	45	40	35	35	56
017	Tauboga	Normal	Flug	63	60	55	50	50	71
018	Tauboss	Normal	Flug	83	80	75	70	70	101
019	Rattfratz	Normal	-	30	56	35	25	35	72
020	Rattikarl	Normal	-	55	81	60	50	70	97
021	Habitak	Normal	Flug	40	60	30	31	31	70
022	Ibitak	Normal	Flug	65	90	65	61	61	100
023	Rettan	Gift	-	35	60	44	40	54	55
024	Arbok	Gift	-	60	95	69	65	79	80
025	Pikachu	Elektro	-	35	55	40	50	50	90
026	Raichu	Elektro	-	60	90	55	90	80	110
027	Sandan	Boden	-	50	75	85	20	30	40
028	Sandamer	Boden	-	75	100	110	45	55	65
029	Nidoran♀	Gift	-	55	47	52	40	40	41
030	Nidorina	Gift	-	70	62	67	55	55	56
031	Nidoqueen	Gift	Boden	90	92	87	75	85	76
032	Nidoran♂	Gift	-	46	57	40	40	40	50
033	Nidorino	Gift	-	61	72	57	55	55	65
034	Nidoking	Gift	Boden	81	102	77	85	75	85
035	Piepi	Fee	-	70	45	48	60	65	35
036	Pixi	Fee	-	95	70	73	95	90	60
037	Vulpix	Feuer	-	38	41	40	50	65	65
038	Vulnona	Feuer	-	73	76	75	81	100	100
039	Pummeluff	Normal	Fee	115	45	20	45	25	20
040	Knuddeluff	Normal	Fee	140	70	45	85	50	45
041	Zubat	Gift	Flug	40	45	35	30	40	55
042	Golbat	Gift	Flug	75	80	70	65	75	90
